ID,Issue Type,Epic Link,Summary,Description,Assignee,Channel,Start Date,Due Date,Parent
Subtask-017,Subtask,,LinkedIn - Copy,Write the poll question 4 answer options and hook copy. Topic: whether teams track open rates in internal email.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-06,2026-05-06,Task-005
Subtask-018,Subtask,,LinkedIn - Asset Creation,Create a simple graphic to accompany the poll if applicable.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-06,2026-05-07,Task-005
Subtask-019,Subtask,,LinkedIn - Approval,Review and approve poll copy and any asset.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-07,2026-05-07,Task-005
Subtask-020,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the LinkedIn poll.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-07,2026-05-08,Task-005
Task-006,Task,2026 Insights Update,Content - Blog (Cerkl.com) - Using Engagement Data to Improve Internal Comms Messaging,Cerkl.com blog post. Topic: Using engagement data to improve internal comms messaging. Write 700-900 words for internal communicators who have analytics but do not know how to act on them. Campaign: Prove Your Impact / 2026 Insights Update. Generate a draft covering how to use open rates to refine subject lines click data to improve CTAs and segment performance to inform targeting.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-05,2026-05-12,
Subtask-021,Subtask,,Blog - Copy,Write the full post draft. Platform: Cerkl.com. Topic: using engagement data to improve internal comms messaging. Campaign theme: Prove Your Impact.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-05,2026-05-07,Task-006
Subtask-022,Subtask,,Blog - Image Creation,Create or source the featured image and any in-body visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-07,2026-05-09,Task-006
Subtask-023,Subtask,,Blog - Approval,Review and approve the draft and visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-09,2026-05-11,Task-006
Subtask-024,Subtask,,Blog - Implementation / Publishing,Publish to Cerkl.com. Confirm URL meta description and formatting.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-11,2026-05-12,Task-006
Task-007,Task,2026 Insights Update,Content - Blog (ICP) - Mental Health Awareness Month: Communicating Wellness Programs with Segmentation,internalcommspro.com blog post. Topic: Communicating wellness programs with segmentation. Mental Health Awareness Month angle. Write 700-900 words for HR communicators. Campaign: Prove Your Impact / 2026 Insights Update. Generate a draft covering how segmentation helps the right employees see wellness benefits how to measure if wellness comms are landing and a timely Mental Health Awareness Month angle.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-06,2026-05-13,
Subtask-025,Subtask,,Blog - Copy,Write the full post draft. Platform: internalcommspro.com. Topic: communicating wellness programs with segmentation. Mental Health Awareness Month tie-in.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-06,2026-05-08,Task-007
Subtask-026,Subtask,,Blog - Image Creation,Create or source the featured image and any in-body visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-08,2026-05-10,Task-007
Subtask-027,Subtask,,Blog - Approval,Review and approve the draft and visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-10,2026-05-12,Task-007
Subtask-028,Subtask,,Blog - Implementation / Publishing,Publish to internalcommspro.com. Confirm URL meta description and formatting.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-12,2026-05-13,Task-007
Task-008,Task,2026 Insights Update,PR - Press Release - Insights Update Launch Announcement,Press release announcing the Insights Update product launch. Audience: trade press and HR/comms industry outlets. Campaign: 2026 Insights Update. Generate a full press release including headline dateline lead paragraph product detail quote from leadership and boilerplate. Announce new analytics capabilities now available to Foundations users.,62bb263d268cac6e31c40941,Press Releases,2026-04-28,2026-05-12,
Subtask-029,Subtask,,PR - Copy,Write the full press release draft. Include headline dateline lead product detail leadership quote and boilerplate. Topic: Insights Update launch.,62bb263d268cac6e31c40941,Press Releases,2026-04-28,2026-05-05,Task-008
Subtask-030,Subtask,,PR - Review,Review and approve the press release draft. Legal and leadership sign-off as needed.,62bb263d268cac6e31c40941,Press Releases,2026-05-05,2026-05-09,Task-008
Subtask-031,Subtask,,PR - Submit for Release,Submit the final approved release to distribution service. Target publish: 2026-05-12.,62bb263d268cac6e31c40941,Press Releases,2026-05-09,2026-05-12,Task-008
Task-009,Task,2026 Insights Update,Social Media - LinkedIn - Insights Update Launch: What's New,LinkedIn static post (theme). Topic: Insights Update launch. Campaign: Prove Your Impact / 2026 Insights Update. Generate a 3-5 sentence launch announcement post highlighting the key new analytics capability and its benefit for internal communicators. Hook: the Foundations product just got smarter.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-09,2026-05-12,
Subtask-032,Subtask,,LinkedIn - Copy,Write the post copy. Type: static/theme. Topic: Insights Update launch. Highlight the new capability and its benefit for internal communicators.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-09,2026-05-10,Task-009
Subtask-033,Subtask,,LinkedIn - Asset Creation,Design the static image for the Insights Update launch post. Campaign visual style.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-10,2026-05-11,Task-009
Subtask-034,Subtask,,LinkedIn - Approval,Review and approve copy and asset before scheduling.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-11,2026-05-12,Task-009
Subtask-035,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the post on LinkedIn.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-12,2026-05-12,Task-009
Task-010,Task,2026 Insights Update,Social Media - LinkedIn - Link Post: Engagement Data Blog,LinkedIn static post (blog link). Topic: Using engagement data to improve internal comms messaging. Campaign: Prove Your Impact / 2026 Insights Update. Generate a 2-3 sentence link post teasing the angle of acting on analytics and driving to the Cerkl.com post.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-09,2026-05-13,
Subtask-036,Subtask,,LinkedIn - Copy,Write the link post copy. Type: static/blog. Topic: using engagement data to improve comms messaging. Include URL placeholder.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-09,2026-05-10,Task-010
Subtask-037,Subtask,,LinkedIn - Asset Creation,Design the static image for this LinkedIn link post.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-10,2026-05-12,Task-010
Subtask-038,Subtask,,LinkedIn - Approval,Review and approve copy and asset.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-12,2026-05-12,Task-010
Subtask-039,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the post on LinkedIn.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-12,2026-05-13,Task-010
Task-011,Task,2026 Insights Update,Social Media - LinkedIn - What's Your Biggest Analytics Challenge in Internal Comms?,LinkedIn poll. Topic: Analytics challenges in internal comms. Campaign: Prove Your Impact / 2026 Insights Update. Generate 4 answer options: no analytics access / data I do not know how to use / leadership does not care / nothing I am covered. Include a 1-2 sentence hook.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-12,2026-05-14,
Subtask-040,Subtask,,LinkedIn - Copy,Write the poll question 4 answer options and hook copy. Topic: biggest analytics challenges in internal comms.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-12,2026-05-12,Task-011
Subtask-041,Subtask,,LinkedIn - Asset Creation,Create a simple graphic to accompany the poll if applicable.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-12,2026-05-13,Task-011
Subtask-042,Subtask,,LinkedIn - Approval,Review and approve poll copy and any asset.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-13,2026-05-13,Task-011
Subtask-043,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the LinkedIn poll.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-13,2026-05-14,Task-011
Task-012,Task,2026 Insights Update,Content - Blog (Cerkl.com) - Building a Case for Comms Investment Using Data,Cerkl.com blog post. Topic: Building a case for comms investment using data. Write 700-900 words for internal communicators who need to justify tools or headcount to leadership. Campaign: Prove Your Impact / 2026 Insights Update. Generate a draft covering what metrics matter to leadership how to frame engagement data as business impact and a step-by-step structure for a comms ROI conversation.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-12,2026-05-19,
Subtask-044,Subtask,,Blog - Copy,Write the full post draft. Platform: Cerkl.com. Topic: building a business case for comms investment using engagement data.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-12,2026-05-14,Task-012
Subtask-045,Subtask,,Blog - Image Creation,Create or source the featured image and any in-body visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-14,2026-05-16,Task-012
Subtask-046,Subtask,,Blog - Approval,Review and approve the draft and visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-16,2026-05-18,Task-012
Subtask-047,Subtask,,Blog - Implementation / Publishing,Publish to Cerkl.com. Confirm URL meta description and formatting.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-18,2026-05-19,Task-012
Task-013,Task,2026 Insights Update,Content - Blog (ICP) - Communicating Inclusively Across Diverse Workforces,internalcommspro.com blog post. Topic: Communicating inclusively across diverse workforces. AAPI Heritage Month angle. Write 700-900 words for internal communicators. Campaign: Prove Your Impact. Generate a draft covering what inclusive internal comms looks like in practice how segmentation enables language and cultural relevance and a timely AAPI Heritage Month angle.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-12,2026-05-19,
Subtask-048,Subtask,,Blog - Copy,Write the full post draft. Platform: internalcommspro.com. Topic: communicating inclusively across diverse workforces. AAPI Heritage Month tie-in.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-12,2026-05-14,Task-013
Subtask-049,Subtask,,Blog - Image Creation,Create or source the featured image and any in-body visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-14,2026-05-16,Task-013
Subtask-050,Subtask,,Blog - Approval,Review and approve the draft and visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-16,2026-05-18,Task-013
Subtask-051,Subtask,,Blog - Implementation / Publishing,Publish to internalcommspro.com. Confirm URL meta description and formatting.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-18,2026-05-19,Task-013
Task-014,Task,2026 Insights Update,Social Media - LinkedIn - 5 Metrics Every Internal Communicator Should Track,LinkedIn carousel post. Topic: 5 metrics every internal communicator should track. Campaign: Prove Your Impact / 2026 Insights Update. Generate 6-7 carousel slide concepts (cover + 5 metric slides + CTA) with short copy for each. Metrics should map to Foundations Insights features.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-13,2026-05-20,
Subtask-052,Subtask,,LinkedIn - Copy,Write the carousel copy: cover headline one-liner for each of the 5 metric slides and CTA slide copy.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-13,2026-05-15,Task-014
Subtask-053,Subtask,,LinkedIn - Asset Creation,Design all carousel slides (7 total: cover + 5 metric slides + CTA). Align with campaign visual style.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-15,2026-05-17,Task-014
Subtask-054,Subtask,,LinkedIn - Approval,Review and approve the full carousel including copy and all slides.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-17,2026-05-19,Task-014
Subtask-055,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the carousel on LinkedIn.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-19,2026-05-20,Task-014
Task-015,Task,2026 Insights Update,Content - Webinar - Prove Your Impact: Using Analytics to Strengthen Internal Comms,Webinar targeting internal communicators and HR professionals. Campaign: Prove Your Impact / 2026 Insights Update. Session covers: how to read engagement data how to benchmark your comms program and how the Insights Update gives Foundations users new visibility. Includes a live product demo. Promote via marketing email and LinkedIn.,62bb263d268cac6e31c40941,Webinars,2026-05-07,2026-05-21,
Task-016,Task,2026 Insights Update,Social Media - LinkedIn - Make the Case for Comms Investment with Data,LinkedIn static post (theme). Topic: Make the case for comms investment with data. Campaign: Prove Your Impact / 2026 Insights Update. Generate a 3-5 sentence post targeting internal communicators who struggle to get leadership buy-in. Angle: data turns a gut feeling into a business case.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-14,2026-05-19,
Subtask-056,Subtask,,LinkedIn - Copy,Write the post copy. Type: static/theme. Topic: making a data-driven case for comms investment. Campaign: Prove Your Impact.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-14,2026-05-15,Task-016
Subtask-057,Subtask,,LinkedIn - Asset Creation,Design the static image for this post. Campaign visual style.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-15,2026-05-17,Task-016
Subtask-058,Subtask,,LinkedIn - Approval,Review and approve copy and asset.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-17,2026-05-18,Task-016
Subtask-059,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the post on LinkedIn.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-18,2026-05-19,Task-016
Task-017,Task,2026 Insights Update,Social Media - LinkedIn - Link Post: Case-Building for Leadership Blog,LinkedIn static post (blog link). Topic: Building a case for comms investment. Campaign: Prove Your Impact / 2026 Insights Update. Generate a 2-3 sentence link post teasing the leadership angle and driving to the Cerkl.com post.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-16,2026-05-20,
Subtask-060,Subtask,,LinkedIn - Copy,Write the link post copy. Type: static/blog. Topic: building a case for comms investment using data. Include URL placeholder.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-16,2026-05-16,Task-017
Subtask-061,Subtask,,LinkedIn - Asset Creation,Design the static image for this LinkedIn link post.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-16,2026-05-18,Task-017
Subtask-062,Subtask,,LinkedIn - Approval,Review and approve copy and asset.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-18,2026-05-19,Task-017
Subtask-063,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the post on LinkedIn.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-19,2026-05-20,Task-017
Task-018,Task,2026 Insights Update,Social Media - LinkedIn - Has Your Leadership Ever Asked You to Justify Comms Spend?,LinkedIn poll. Topic: Leadership accountability for comms spend. Campaign: Prove Your Impact / 2026 Insights Update. Generate 4 answer options: yes and it went well / yes and it was hard / not yet but bracing for it / no they trust us. Include a 1-2 sentence hook.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-19,2026-05-21,
Subtask-064,Subtask,,LinkedIn - Copy,Write the poll question 4 answer options and hook copy. Topic: justifying comms spend to leadership.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-19,2026-05-19,Task-018
Subtask-065,Subtask,,LinkedIn - Asset Creation,Create a simple graphic to accompany the poll if applicable.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-19,2026-05-20,Task-018
Subtask-066,Subtask,,LinkedIn - Approval,Review and approve poll copy and any asset.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-20,2026-05-20,Task-018
Subtask-067,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the LinkedIn poll.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-20,2026-05-21,Task-018
Task-019,Task,2026 Insights Update,Content - Blog (Cerkl.com) - Insights Update: What's New for Foundations Users,Cerkl.com blog post. Topic: Insights Update — what is new for Foundations users. Write 700-900 words for current and prospective Foundations users. Campaign: Prove Your Impact / 2026 Insights Update. Generate a product-focused post covering what the Insights Update adds how to use it and why analytics matter for small and mid-size internal comms teams.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-19,2026-05-26,
Subtask-068,Subtask,,Blog - Copy,Write the full post draft. Platform: Cerkl.com. Topic: Insights Update product overview and benefits for Foundations users.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-19,2026-05-21,Task-019
Subtask-069,Subtask,,Blog - Image Creation,Create or source the featured image and any in-body visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-21,2026-05-23,Task-019
Subtask-070,Subtask,,Blog - Approval,Review and approve the draft and visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-23,2026-05-25,Task-019
Subtask-071,Subtask,,Blog - Implementation / Publishing,Publish to Cerkl.com. Confirm URL meta description and formatting.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-25,2026-05-26,Task-019
Task-020,Task,2026 Insights Update,Content - Blog (ICP) - Employee Wellness Comms: How Segmentation Helps You Reach the Right People,internalcommspro.com blog post. Topic: Employee wellness comms — how segmentation helps you reach the right people. Write 700-900 words for HR communicators. Campaign: Prove Your Impact. Generate a draft covering why broad wellness emails underperform how to segment by role/location/eligibility and how targeted delivery improves engagement for EAP and benefits programs.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-19,2026-05-26,
Subtask-072,Subtask,,Blog - Copy,Write the full post draft. Platform: internalcommspro.com. Topic: how segmentation improves reach for employee wellness comms.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-19,2026-05-21,Task-020
Subtask-073,Subtask,,Blog - Image Creation,Create or source the featured image and any in-body visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-21,2026-05-23,Task-020
Subtask-074,Subtask,,Blog - Approval,Review and approve the draft and visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-23,2026-05-25,Task-020
Subtask-075,Subtask,,Blog - Implementation / Publishing,Publish to internalcommspro.com. Confirm URL meta description and formatting.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-25,2026-05-26,Task-020
Task-021,Task,2026 Insights Update,Social Media - LinkedIn - Month Recap: Prove Your Impact with Better Analytics,LinkedIn static post (theme). Topic: Month recap — prove your impact with better analytics. Campaign: Prove Your Impact / 2026 Insights Update. Generate a 3-5 sentence wrap-up post summarizing the Prove Your Impact theme and pointing to the Insights Update as the tool that makes it possible.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-21,2026-05-26,
Subtask-076,Subtask,,LinkedIn - Copy,Write the post copy. Type: static/theme. Month recap angle. Topic: Prove Your Impact campaign and the Insights Update.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-21,2026-05-22,Task-021
Subtask-077,Subtask,,LinkedIn - Asset Creation,Design the static image for this post. Campaign visual style.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-22,2026-05-24,Task-021
Subtask-078,Subtask,,LinkedIn - Approval,Review and approve copy and asset.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-24,2026-05-25,Task-021
Subtask-079,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the post on LinkedIn.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-25,2026-05-26,Task-021
Task-022,Task,2026 Insights Update,Social Media - LinkedIn - Link Post: Insights Update Blog,LinkedIn static post (blog link). Topic: Insights Update — what is new for Foundations users. Campaign: Prove Your Impact / 2026 Insights Update. Generate a 2-3 sentence link post highlighting the product feature angle and driving to the Cerkl.com post.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-22,2026-05-27,
Subtask-080,Subtask,,LinkedIn - Copy,Write the link post copy. Type: static/blog. Topic: Insights Update product post. Include URL placeholder.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-22,2026-05-23,Task-022
Subtask-081,Subtask,,LinkedIn - Asset Creation,Design the static image for this LinkedIn link post.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-23,2026-05-25,Task-022
Subtask-082,Subtask,,LinkedIn - Approval,Review and approve copy and asset.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-25,2026-05-26,Task-022
Subtask-083,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the post on LinkedIn.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-26,2026-05-27,Task-022
Task-023,Task,2026 Insights Update,Social Media - LinkedIn - After Seeing the Insights Update Which Metric Would You Use First?,LinkedIn poll. Topic: Which Insights Update metric would you use first? Campaign: Prove Your Impact / 2026 Insights Update. Generate 4 answer options tied to Insights features: open rate by segment / click rate by content type / delivery confirmation / engagement over time. Include a 1-2 sentence hook.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-26,2026-05-28,
Subtask-084,Subtask,,LinkedIn - Copy,Write the poll question 4 answer options tied to Insights features and hook copy.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-26,2026-05-26,Task-023
Subtask-085,Subtask,,LinkedIn - Asset Creation,Create a simple graphic to accompany the poll if applicable.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-26,2026-05-27,Task-023
Subtask-086,Subtask,,LinkedIn - Approval,Review and approve poll copy and any asset.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-27,2026-05-27,Task-023
