Work Item ID,Issue Type,Parent ID,Epic Link,Summary,Description,Owner,Channel,Start Date,Due Date
S014,Subtask,T004,,LinkedIn – Asset Creation,Create or source the static / carousel / video asset.,,Social Media,2026-05-22,2026-05-22
S015,Subtask,T004,,LinkedIn – Approval,Review post + asset; sign off.,,Social Media,2026-05-26,2026-05-26
S016,Subtask,T004,,LinkedIn – Implementation / Publishing,Schedule in LinkedIn / Buffer / native; confirm publish.,,Social Media,2026-05-26,2026-05-26
T005,Task,,,Social Media - LinkedIn - Link post: metrics to leadership story blog,"Topic: link post pointing to the leadership-story blog
Wraps: from-metrics-leadership-story-reporting-internal-comms-way",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-26,2026-05-27
S017,Subtask,T005,,LinkedIn – Copy,Draft the post copy.,,Social Media,2026-05-26,2026-05-26
S018,Subtask,T005,,LinkedIn – Asset Creation,Create or source the static asset (typically the blog hero or a pull-quote card).,,Social Media,2026-05-26,2026-05-26
S019,Subtask,T005,,LinkedIn – Approval,Review post + asset; sign off.,,Social Media,2026-05-27,2026-05-27
S020,Subtask,T005,,LinkedIn – Implementation / Publishing,Schedule in LinkedIn / Buffer / native; confirm publish.,,Social Media,2026-05-27,2026-05-27
T006,Task,,,Social Media - LinkedIn - When reporting internal comms metrics to leadership what's the hardest part,"Topic: LinkedIn poll on the leadership-reporting pain point
Wraps: from-metrics-leadership-story-reporting-internal-comms-way",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-27,2026-05-28
S021,Subtask,T006,,LinkedIn – Copy,Draft the poll question + answer options.,,Social Media,2026-05-27,2026-05-27
S022,Subtask,T006,,LinkedIn – Asset Creation,(N/A for polls — native poll widget; skip or mark done.),,Social Media,2026-05-27,2026-05-27
S023,Subtask,T006,,LinkedIn – Approval,Review poll question + options; sign off.,,Social Media,2026-05-28,2026-05-28
S024,Subtask,T006,,LinkedIn – Implementation / Publishing,Publish poll natively on LinkedIn; confirm live.,,Social Media,2026-05-28,2026-05-28
